"filename", "language", "Python", "YAML", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\ladmin\Documents\my_workspace\research-to-report\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 1
"c:\Users\ladmin\Documents\my_workspace\research-to-report\config.yaml", "YAML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\ladmin\Documents\my_workspace\research-to-report\docs\plans\charts-images-design-2026-03-14.md", "Markdown", 0, 0, 138, 0, 0, 51, 189
"c:\Users\ladmin\Documents\my_workspace\research-to-report\docs\plans\charts-images-implementation-2026-03-14.md", "Markdown", 0, 0, 711, 0, 0, 201, 912
"c:\Users\ladmin\Documents\my_workspace\research-to-report\docs\plans\research-to-report-design-2026-03-12.md", "Markdown", 0, 0, 27, 0, 0, 6, 33
"c:\Users\ladmin\Documents\my_workspace\research-to-report\docs\plans\research-to-report-implementation-2026-03-12.md", "Markdown", 0, 0, 32, 0, 0, 5, 37
"c:\Users\ladmin\Documents\my_workspace\research-to-report\requirements.txt", "pip requirements", 0, 0, 0, -1, 0, 0, -1
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\email_sender.py", "Python", -1, 0, 0, 0, 0, -1, -2
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\orchestrator.py", "Python", 1, 0, 0, 0, 0, 0, 1
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\pdf_formatter.py", "Python", 221, 0, 0, 0, 9, 20, 250
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\preflight.py", "Python", -8, 0, 0, 0, -1, 0, -9
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\researcher.py", "Python", 18, 0, 0, 0, 1, 3, 22
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\synthesizer.py", "Python", 9, 0, 0, 0, 0, 0, 9
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\tools\notebooklm_reader.py", "Python", 27, 0, 0, 0, 35, 6, 68
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_orchestrator.py", "Python", 9, 0, 0, 0, 0, 2, 11
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_pdf_charts_images.py", "Python", 146, 0, 0, 0, 4, 47, 197
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_pdf_formatter.py", "Python", 9, 0, 0, 0, 0, 4, 13
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_preflight.py", "Python", -6, 0, 0, 0, 0, 0, -6
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_synthesizer.py", "Python", 13, 0, 0, 0, 0, 2, 15
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_tools.py", "Python", 2, 0, 0, 0, 2, 4, 8
"Total", "-", 440, 1, 909, -1, 50, 350, 1749