"filename", "language", "Python", "YAML", "Markdown", "JSON", "pip requirements", "comment", "blank", "total"
"c:\Users\ladmin\Documents\my_workspace\research-to-report\.claude\settings.local.json", "JSON", 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\ladmin\Documents\my_workspace\research-to-report\README.md", "Markdown", 0, 0, 106, 0, 0, 0, 47, 153
"c:\Users\ladmin\Documents\my_workspace\research-to-report\config.yaml", "YAML", 0, 37, 0, 0, 0, 2, 9, 48
"c:\Users\ladmin\Documents\my_workspace\research-to-report\docs\plans\charts-images-design-2026-03-14.md", "Markdown", 0, 0, 138, 0, 0, 0, 51, 189
"c:\Users\ladmin\Documents\my_workspace\research-to-report\docs\plans\charts-images-implementation-2026-03-14.md", "Markdown", 0, 0, 711, 0, 0, 0, 201, 912
"c:\Users\ladmin\Documents\my_workspace\research-to-report\docs\plans\research-to-report-design-2026-03-12.md", "Markdown", 0, 0, 596, 0, 0, 0, 147, 743
"c:\Users\ladmin\Documents\my_workspace\research-to-report\docs\plans\research-to-report-implementation-2026-03-12.md", "Markdown", 0, 0, 2230, 0, 0, 0, 686, 2916
"c:\Users\ladmin\Documents\my_workspace\research-to-report\requirements.txt", "pip requirements", 0, 0, 0, 0, 14, 0, 1, 15
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\approval.py", "Python", 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\config.py", "Python", 27, 0, 0, 0, 0, 3, 10, 40
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\email_sender.py", "Python", 90, 0, 0, 0, 0, 1, 17, 108
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\logger.py", "Python", 32, 0, 0, 0, 0, 0, 11, 43
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\main.py", "Python", 159, 0, 0, 0, 0, 6, 38, 203
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\orchestrator.py", "Python", 52, 0, 0, 0, 0, 0, 11, 63
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\pdf_formatter.py", "Python", 468, 0, 0, 0, 0, 31, 70, 569
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\preflight.py", "Python", 64, 0, 0, 0, 0, 1, 25, 90
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\researcher.py", "Python", 121, 0, 0, 0, 0, 4, 24, 149
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\resume.py", "Python", 37, 0, 0, 0, 0, 0, 6, 43
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\scheduler.py", "Python", 70, 0, 0, 0, 0, 0, 14, 84
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\state.py", "Python", 70, 0, 0, 0, 0, 0, 27, 97
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\synthesizer.py", "Python", 49, 0, 0, 0, 0, 0, 13, 62
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\tools\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\tools\notebooklm_reader.py", "Python", 65, 0, 0, 0, 0, 35, 17, 117
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\tools\web_search.py", "Python", 22, 0, 0, 0, 0, 0, 7, 29
"c:\Users\ladmin\Documents\my_workspace\research-to-report\src\translate_pdf.py", "Python", 294, 0, 0, 0, 0, 28, 50, 372
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_approval.py", "Python", 26, 0, 0, 0, 0, 0, 9, 35
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_config.py", "Python", 62, 0, 0, 0, 0, 0, 8, 70
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_email_sender.py", "Python", 45, 0, 0, 0, 0, 0, 11, 56
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_logger.py", "Python", 62, 0, 0, 0, 0, 0, 6, 68
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_main.py", "Python", 55, 0, 0, 0, 0, 14, 8, 77
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_orchestrator.py", "Python", 77, 0, 0, 0, 0, 0, 21, 98
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_pdf_charts_images.py", "Python", 146, 0, 0, 0, 0, 4, 47, 197
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_pdf_formatter.py", "Python", 36, 0, 0, 0, 0, 0, 15, 51
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_preflight.py", "Python", 60, 0, 0, 0, 0, 3, 17, 80
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_researcher.py", "Python", 72, 0, 0, 0, 0, 2, 21, 95
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_resume.py", "Python", 43, 0, 0, 0, 0, 0, 13, 56
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_scheduler.py", "Python", 40, 0, 0, 0, 0, 0, 11, 51
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_state.py", "Python", 47, 0, 0, 0, 0, 0, 11, 58
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_synthesizer.py", "Python", 50, 0, 0, 0, 0, 0, 13, 63
"c:\Users\ladmin\Documents\my_workspace\research-to-report\tests\test_tools.py", "Python", 62, 0, 0, 0, 0, 2, 17, 81
"Total", "-", 2532, 37, 3781, 6, 14, 136, 1723, 8229